# Position   , Intensität
0         0.033
3         0.036
3.1       0.038
3.2       0.038
3.3       0.040
3.4       0.042
3.5       0.043
3.6       0.044
3.7       0.045
3.8       0.047
3.9       0.048
4         0.049
4.1       0.05
4.2       0.051
4.3       0.055
4.4       0.059
4.5       0.061
4.6       0.058
4.7       0.060
4.8       0.062
4.9       0.062
5         0.064
5.1       0.065
5.2       0.067
5.3       0.070
5.4       0.073
5.5       0.079
5.6       0.092
5.7       0.112
5.8       0.154
5.9       0.221
6         0.315
6.05      0.365
6.1       0.422
6.15      0.479
6.2       0.535
6.3       0.633
6.35      0.655
6.4       0.677
6.45      0.677
6.5       0.658
6.55      0.612
6.6       0.563
6.65      0.509
6.7       0.455
6.75      0.396
6.8       0.339
6.85      0.296
6.9       0.245
6.95      0.213
7.0       0.180
7.1       0.136
7.2       0.109
7.3       0.096
7.4       0.081
7.5       0.074
7.6       0.070
7.7       0.068
7.8       0.065
7.9       0.063
8.0       0.061
9.0       0.054
10        0.044
