#stom  Temperatur
0.2e-11   -58.5
0.35e-11  -55.9
0.35e-11  -54.7
0.35e-11  -53.3
0.35e-11  -51.9
0.4e-11   -50.5
0.4e-11   -48.7
0.45e-11  -46.7
0.5e-11   -44.6
0.6e-11   -42.4
0.7e-11   -40.0
0.9e-11   -37.9
1.15e-11  -35.9
1.5e-11   -33.9
1.7e-11   -32.9
1.9e-11   -31.9
2.1e-11   -30.9
2.5e-11   -30
2.8e-11   -29
3.2e-11   -28.1
3.6e-11   -27.2
4.05e-11  -26.3
4.6e-11   -25.4
5.2e-11   -24.5
5.7e-11   -23.6
6.5e-11   -22.6
7.3e-11   -21.8
8.1e-11   -20.9
9.1e-11   -19.9
1.05e-10  -18.9
1.15e-10  -18.1
1.25e-10  -17.1
1.35e-10  -16.1
1.5e-10   -15.2
1.6e-10   -14.2
1.65e-10  -13.2
1.7e-10   -12.2
1.75e-10  -11.1
1.75e-10  -10.1
1.75e-10   -9.1
1.7e-10   -8
1.6e-10   -7
1.45e-10  -5.9
1.3e-10   -4.9
1.15e-10  -3.9
1e-10     -2.9
0.85e-10  -1.9
0.75e-10  -0.9
0.6e-10   0.1
0.55e-10  1
4.9e-11   2.9
5.2e-11   3.9
5.1e-11   4.9
5.1e-11   5.9
5.1e-11   6.7
5.1e-11   7.7
5.1e-11   8.7
5.3e-11   9.6
5.4e-11   10.5
5.6e-11   12.5
5.7e-11   14.3
6.0e-11   16.4
6.2e-11   18.3
